event_id,matchup,home_team,away_team,commence_time,player_name,prop_type,bookmaker,bet_type,line_value,odds_price,last_update,retrieved_at
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,2.5,-1800,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,3.5,-600,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,4.5,-265,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,5.5,-135,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,6.5,135,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,7.5,250,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,8.5,425,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,9.5,800,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,10.5,1500,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_assists_alternate,DraftKings,Over,11.5,2500,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_points_alternate,DraftKings,Over,7.5,-1100,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_points_alternate,DraftKings,Over,9.5,-475,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_points_alternate,DraftKings,Over,11.5,-250,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_points_alternate,DraftKings,Over,14.5,-110,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_points_alternate,DraftKings,Over,17.5,205,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_points_alternate,DraftKings,Over,19.5,330,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Indiana Fever,Seattle Storm,2025-08-26T23:00:00Z,Skylar Diggins-Smith,player_points_alternate,DraftKings,Over,24.5,1100,2025-08-26T22:21:38Z,2025-08-26T15:22:47.548917
