"player","team","stat","threshold","threshold_label","probability","probability_percent","american_odds","under_probability","under_probability_percent","under_american_odds"
Alyssa Thomas,PHX,PR,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Kiki Iriafen,WAS,PRA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PA,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Kiki Iriafen,WAS,PRA,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Emma Meesseman,NYL,PA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Emma Meesseman,NYL,PA,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Emma Meesseman,NYL,Points,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Emma Meesseman,NYL,PR,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Jonquel Jones,NYL,PRA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Emma Meesseman,NYL,PRA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Jonquel Jones,NYL,PRA,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Jonquel Jones,NYL,PRA,3,"3+",1.0000,100.00,-9999,0.0000,0.00,9999
Kiki Iriafen,WAS,PR,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,Points,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Napheesa Collier,MIN,PRA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PRA,5,"5+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PRA,4,"4+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PRA,3,"3+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PRA,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PRA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,Rebounds,3,"3+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,Rebounds,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,Rebounds,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PR,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PR,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PR,3,"3+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PR,4,"4+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PR,5,"5+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PR,6,"6+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PR,7,"7+",1.0000,100.00,-9999,0.0000,0.00,9999
Angel Reese,CHI,PR,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Angel Reese,CHI,PR,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Angel Reese,CHI,PRA,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Angel Reese,CHI,PRA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PRA,5,"5+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PRA,4,"4+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PRA,3,"3+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PRA,2,"2+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PR,3,"3+",1.0000,100.00,-9999,0.0000,0.00,9999
A'ja Wilson,LVA,PRA,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PR,1,"1+",1.0000,100.00,-9999,0.0000,0.00,9999
Alyssa Thomas,PHX,PRA,6,"6+",0.9999,99.99,-999900,0.0001,0.01,999900
