event_id,matchup,player,prop_type,line,bookmaker,over_price,under_price,last_update
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,11.5,DraftKings,-750,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,14.5,DraftKings,-300,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,17.5,DraftKings,-145,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,18.5,DraftKings,-115,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,19.5,DraftKings,110,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,24.5,DraftKings,320,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,29.5,DraftKings,950,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Nneka Ogwumike,player_points_alternate,34.5,DraftKings,3000,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,5.5,DraftKings,-1400,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,7.5,DraftKings,-550,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,9.5,DraftKings,-260,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,11.5,DraftKings,-140,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,12.5,DraftKings,-105,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,14.5,DraftKings,160,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,17.5,DraftKings,340,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,19.5,DraftKings,600,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Brittney Sykes,player_points_alternate,24.5,DraftKings,2200,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,5.5,DraftKings,-1600,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,7.5,DraftKings,-575,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,9.5,DraftKings,-285,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,11.5,DraftKings,-150,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,12.5,DraftKings,-115,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,14.5,DraftKings,155,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,17.5,DraftKings,340,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,19.5,DraftKings,550,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Dominique Malonga,player_points_alternate,24.5,DraftKings,2200,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,5.5,DraftKings,-900,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,7.5,DraftKings,-340,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,9.5,DraftKings,-170,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,10.5,DraftKings,-125,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,11.5,DraftKings,110,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,14.5,DraftKings,260,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,17.5,DraftKings,600,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,19.5,DraftKings,1000,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Natasha Howard,player_points_alternate,24.5,DraftKings,4500,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,5.5,DraftKings,-295,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,7.5,DraftKings,-135,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,8.5,DraftKings,105,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,9.5,DraftKings,150,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,11.5,DraftKings,295,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,14.5,DraftKings,750,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,17.5,DraftKings,1800,,2025-08-26T22:21:38Z
c416f257064252a180c067b758496186,Seattle Storm @ Indiana Fever,Lexie Hull,player_points_alternate,19.5,DraftKings,3500,,2025-08-26T22:21:38Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,7.5,DraftKings,-1400,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,9.5,DraftKings,-650,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,11.5,DraftKings,-310,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,14.5,DraftKings,-135,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,17.5,DraftKings,160,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,19.5,DraftKings,260,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,24.5,DraftKings,850,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Alyssa Thomas,player_points_alternate,29.5,DraftKings,3000,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,11.5,DraftKings,-1200,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,14.5,DraftKings,-450,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,17.5,DraftKings,-210,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,19.5,DraftKings,-130,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,20.5,DraftKings,-105,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,24.5,DraftKings,215,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,29.5,DraftKings,550,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kelsey Plum,player_points_alternate,34.5,DraftKings,1700,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Dearica Hamby,player_points_alternate,9.5,DraftKings,-1200,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Dearica Hamby,player_points_alternate,11.5,DraftKings,-550,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Dearica Hamby,player_points_alternate,14.5,DraftKings,-215,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Dearica Hamby,player_points_alternate,17.5,DraftKings,-105,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Dearica Hamby,player_points_alternate,19.5,DraftKings,155,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Dearica Hamby,player_points_alternate,24.5,DraftKings,475,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Dearica Hamby,player_points_alternate,29.5,DraftKings,1500,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,7.5,DraftKings,-1800,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,9.5,DraftKings,-800,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,11.5,DraftKings,-425,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,14.5,DraftKings,-175,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,15.5,DraftKings,-135,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,17.5,DraftKings,120,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,19.5,DraftKings,190,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,24.5,DraftKings,550,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Kahleah Copper,player_points_alternate,29.5,DraftKings,1800,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,7.5,DraftKings,-1800,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,9.5,DraftKings,-750,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,11.5,DraftKings,-380,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,14.5,DraftKings,-165,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,15.5,DraftKings,-125,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,17.5,DraftKings,130,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,19.5,DraftKings,200,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,24.5,DraftKings,600,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Rickea Jackson,player_points_alternate,29.5,DraftKings,1900,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,7.5,DraftKings,-1400,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,9.5,DraftKings,-600,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,11.5,DraftKings,-310,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,14.5,DraftKings,-135,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,15.5,DraftKings,-105,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,17.5,DraftKings,155,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,19.5,DraftKings,245,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,24.5,DraftKings,800,,2025-08-26T22:21:36Z
4a07c3dfddf245535c8b03e3153f975b,Phoenix Mercury @ Los Angeles Sparks,Satou Sabally,player_points_alternate,29.5,DraftKings,2500,,2025-08-26T22:21:36Z
