Player,Position,Player,,,,,,,,,,,,,,,,,,,
Charli Collier,,Charli,Collier,,,,,,,,,,,,,,,,,,
Chelsea Gray,Guard,Chelsea,Gray,,,,,,,,,,,,,,,,,,
Chennedy Carter,Guard,Chennedy,Carter,,,,,,,,,,,,,,,,,,
Cheyenne Parker,Forward,Cheyenne,Parker,,,,,,,,,,,,,,,,,,
Cheyenne Parker-Tyus,Forward,Cheyenne,Parker-Tyus,,,,,,,,,,,,,,,,,,
Chiney Ogwumike,Forward-Center,Chiney,Ogwumike,,,,,,,,,,,,,,,,,,
Chloe Bibby,,Chloe,Bibby,,,,,,,,,,,,,,,,,,
Christyn Williams,,Christyn,Williams,,,,,,,,,,,,,,,,,,
Courtney Vandersloot,Guard,Courtney,Vandersloot,,,,,,,,,,,,,,,,,,
Courtney Williams,Guard,Courtney,Williams,,,,,,,,,,,,,,,,,,
Crystal Bradford,Forward,Crystal,Bradford,,,,,,,,,,,,,,,,,,
Crystal Dangerfield,Guard,Crystal,Dangerfield,,,,,,,,,,,,,,,,,,
Cyesha Goree,Forward,Cyesha,Goree,,,,,,,,,,,,,,,,,,
Damiris Dantas,Forward,Damiris,Dantas,,,,,,,,,,,,,,,,,,
Dana Evans,Guard,Dana,Evans,,,,,,,,,,,,,,,,,,
Danielle Robinson,Guard,Danielle,Robinson,,,,,,,,,,,,,,,,,,
Dearica Hamby,Forward,Dearica,Hamby,,,,,,,,,,,,,,,,,,
Deja Kelly,Guard,Deja,Kelly,,,,,,,,,,,,,,,,,,
Destanni Henderson,Guard,Destanni,Henderson,,,,,,,,,,,,,,,,,,
Destiny Slocum,,Destiny,Slocum,,,,,,,,,,,,,,,,,,
DeWanna Bonner,Forward-Guard,DeWanna,Bonner,,,,,,,,,,,,,,,,,,
Diamond Battles,,Diamond,Battles,,,,,,,,,,,,,,,,,,
Diamond DeShields,Guard,Diamond,DeShields,,,,,,,,,,,,,,,,,,
Diamond Miller,Forward,Diamond,Miller,,,,,,,,,,,,,,,,,,
Diana Taurasi,Guard,Diana,Taurasi,,,,,,,,,,,,,,,,,,
DiDi Richards,Guard-Forward,DiDi,Richards,,,,,,,,,,,,,,,,,,
DiJonai Carrington,Guard-Forward,DiJonai,Carrington,,,,,,,,,,,,,,,,,,
Dominique Malonga,Center,Dominique,Malonga,,,,,,,,,,,,,,,,,,
Dorka Juhász,Forward,Dorka,Juhász,,,,,,,,,,,,,,,,,,
Dulcy Fankam Mendjiadeu,Forward-Center,Dulcy,Fankam,Mendjiadeu,,,,,,,,,,,,,,,,,
