Position,Name + ID,Name,ID,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Isabelle Harrison (42957403),Isabelle Harrison,42957403,4500,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,10.3
PG/SG,Cassandre Prosper (42957405),Cassandre Prosper,42957405,4400,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
SF/PF,Aaliyah Edwards (42957407),Aaliyah Edwards,42957407,4300,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,12.3
PG/SG,Miela Sowah (42957409),Miela Sowah,42957409,4200,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,7th
SF/PF,Diamond Miller (42957411),Diamond Miller,42957411,4100,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,7.4
PG/SG,Lexi Held (42957413),Lexi Held,42957413,4000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,9.6
PG/SG,Lucy Olsen (42957415),Lucy Olsen,42957415,3900,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,8.2
PG/SG,Zia Cooke (42957417),Zia Cooke,42957417,3900,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,5.6
SF/PF,Nyara Sabally (42957419),Nyara Sabally,42957419,3800,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,14.3
SF/PF,Alex Fowler (42957421),Alex Fowler,42957421,3800,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,11th
PG/SG,Rebekah Gardner (42957423),Rebekah Gardner,42957423,3700,CON @ NYL 2026-05-08T23:30:00.0000000Z,NYL,7.9
PG/SG,Lexie Brown (42957425),Lexie Brown,42957425,3700,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,5.4
SF/PF,Mackenzie Holmes (42957427),Mackenzie Holmes,42957427,3600,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,3.4
SF/PF,Marta Suarez (42957429),Marta Suarez,42957429,3600,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,6th
SF/PF,Cotie McMahon (42957431),Cotie McMahon,42957431,3500,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
SF/PF,Laura Juskaite (42957433),Laura Juskaite,42957433,3500,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,8th
PG/SG,Hailey Van Lith (43005721),Hailey Van Lith,43005721,3500,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,7.8
PG/SG,Charlisse Leger-Walker (42957435),Charlisse Leger-Walker,42957435,3400,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,5th
SF/PF,Angela Dugalic (42957437),Angela Dugalic,42957437,3400,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
PG/SG,Rori Harmon (42957439),Rori Harmon,42957439,3300,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
PG/SG,Ashlon Jackson (42957441),Ashlon Jackson,42957441,3300,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,7th
PG/SG,Georgia Amoore (42957443),Georgia Amoore,42957443,3200,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
SF/PF,Raegan Beers (42957445),Raegan Beers,42957445,3200,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,2nd
PG/SG,Taina Mair (42957447),Taina Mair,42957447,3200,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,8th
SF/PF,Laeticia Amihere (42957449),Laeticia Amihere,42957449,3100,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,13.4
PG/SG,Aaliyah Nye (42957451),Aaliyah Nye,42957451,3100,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,6.8
SF/PF,Nell Angloma (42957453),Nell Angloma,42957453,3100,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,10th
PG/SG,Shey Peddy (42957455),Shey Peddy,42957455,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,10.8
PG/SG,Kitija Laksa (42957457),Kitija Laksa,42957457,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,9.4
SF/PF,Mamignan Toure (42957459),Mamignan Toure,42957459,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,4.0
SF/PF,Katie Lou Samuelson (42957461),Katie Lou Samuelson,42957461,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,1st
SF/PF,Kiah Stokes (42957463),Kiah Stokes,42957463,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,6.4
SF/PF,Madison Scott (42957465),Madison Scott,42957465,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,2.4
SF/PF,Teonni Key (42957467),Teonni Key,42957467,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,8th
PG/SG,Elizabeth Balogun (42957469),Elizabeth Balogun,42957469,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,6th
SF/PF,Nikolina Milic (42957471),Nikolina Milic,42957471,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,8th
SF/PF,Maria Conde (42957473),Maria Conde,42957473,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,TOR,8th
SF/PF,Nyla Harris (42957475),Nyla Harris,42957475,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
SF/PF,Juste Jocyte (42957477),Juste Jocyte,42957477,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,6th
SF/PF,Darianna Littlepage-Buggs (42957479),Darianna Littlepage-Buggs,42957479,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
SF/PF,Jordan Horston (42957481),Jordan Horston,42957481,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,1st
PG/SG,Taylor Bigby (42957483),Taylor Bigby,42957483,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,5th
SF/PF,Christeen Iwuala (42957485),Christeen Iwuala,42957485,3000,WAS @ TOR 2026-05-08T23:30:00.0000000Z,WAS,-
PG/SG,Rennia Davis (42957487),Rennia Davis,42957487,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,SEA,8th
PG/SG,Harmoni Turner (42957489),Harmoni Turner,42957489,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,5th
PG/SG,Kokoro Tanaka (42957491),Kokoro Tanaka,42957491,3000,GSV @ SEA 2026-05-09T02:00:00.0000000Z,GSV,7th
SF/PF,Kyla Oldacre (42957493),Kyla Oldacre,42957493,3000,CON @ NYL 2026-05-08T23:30:00.0000000Z,CON,2nd
