date,player,offerName,over_under,line,americanOdds,sportsbook,game_time
2025-08-20,Rhyne Howard,Points,Under,16.5,-130,BetOnline,2025-08-20T02:00:00
2025-08-20,Jackie Young,Points,Over,16.5,-102,BetOnline,2025-08-20T02:00:00
2025-08-20,Jackie Young,Points,Under,16.5,-127,BetOnline,2025-08-20T02:00:00
2025-08-20,Jewell Loyd,Points,Over,10.5,-125,BetOnline,2025-08-20T02:00:00
2025-08-20,Jewell Loyd,Points,Under,10.5,-103,BetOnline,2025-08-20T02:00:00
2025-08-20,Brionna Jones,Points,Over,10.5,-143,BetOnline,2025-08-20T02:00:00
2025-08-20,Brionna Jones,Points,Under,10.5,110,BetOnline,2025-08-20T02:00:00
2025-08-20,Chelsea Gray,Points,Over,9.5,-130,BetOnline,2025-08-20T02:00:00
2025-08-20,Chelsea Gray,Points,Under,9.5,100,BetOnline,2025-08-20T02:00:00
2025-08-20,Kahleah Copper,Points,Over,15.5,-110,BetOnline,2025-08-20T02:00:00
2025-08-20,Kahleah Copper,Points,Under,15.5,-118,BetOnline,2025-08-20T02:00:00
2025-08-20,Satou Sabally,Points,Over,15.5,-119,BetOnline,2025-08-20T02:00:00
2025-08-20,Satou Sabally,Points,Under,15.5,-109,BetOnline,2025-08-20T02:00:00
2025-08-20,Alyssa Thomas,Points,Over,14.5,-119,BetOnline,2025-08-20T02:00:00
2025-08-20,Alyssa Thomas,Points,Under,14.5,-109,BetOnline,2025-08-20T02:00:00
2025-08-20,Cecilia Zandalasini,Points,Over,11.5,-143,BetOnline,2025-08-20T02:00:00
2025-08-20,Cecilia Zandalasini,Points,Under,11.5,110,BetOnline,2025-08-20T02:00:00
2025-08-20,Tiffany Hayes,Points,Over,11.5,-120,BetOnline,2025-08-20T02:00:00
2025-08-20,Tiffany Hayes,Points,Under,11.5,-108,BetOnline,2025-08-20T02:00:00
2025-08-20,Veronica Burton,Points,Over,10.5,-130,BetOnline,2025-08-20T02:00:00
2025-08-20,Veronica Burton,Points,Under,10.5,100,BetOnline,2025-08-20T02:00:00
2025-08-20,Naz Hillmon,Points,Over,9.5,104,BetOnline,2025-08-20T02:00:00
2025-08-20,Naz Hillmon,Points,Under,9.5,-135,BetOnline,2025-08-20T02:00:00
2025-08-21,Kelsey Plum,Points,Over,19.5,-118,BetOnline,2025-08-21T02:00:00
2025-08-21,Kelsey Plum,Points,Under,19.5,-110,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,Points,Over,18.5,-120,BetOnline,2025-08-21T02:00:00
2025-08-21,Paige Bueckers,Points,Under,18.5,-108,BetOnline,2025-08-21T02:00:00
2025-08-21,Dearica Hamby,Points,Over,17.5,-118,BetOnline,2025-08-21T02:00:00
2025-08-21,Dearica Hamby,Points,Under,17.5,-110,BetOnline,2025-08-21T02:00:00
2025-08-21,Rickea Jackson,Points,Over,15.5,-108,BetOnline,2025-08-21T02:00:00
2025-08-21,Rickea Jackson,Points,Under,15.5,-120,BetOnline,2025-08-21T02:00:00
2025-08-21,Maddy Siegrist,Points,Over,13.5,-123,BetOnline,2025-08-21T02:00:00
2025-08-21,Maddy Siegrist,Points,Under,13.5,-105,BetOnline,2025-08-21T02:00:00
2025-08-21,Azurá Stevens,Points,Over,13.5,-109,BetOnline,2025-08-21T02:00:00
2025-08-21,Azurá Stevens,Points,Under,13.5,-119,BetOnline,2025-08-21T02:00:00
2025-08-21,Haley Jones,Points,Over,7.5,-120,BetOnline,2025-08-21T02:00:00
